Tam,Domínio,Descrição,A,AAAA,www A,www AAAA,www CNAME,"Senão, tem outro registro DNS?"
3,fbb.br,Faculdade Batista Brasileira,"104.21.21.36
172.67.196.92","2606:4700:3033::ac43:c45c
2606:4700:3036::6815:1524",209.145.61.108,,@,
3,fbn.br,Biblioteca Nacional,,,,,www.bn.gov.br,
3,fbv.br,Faculdade Boa Viagem,"54.209.15.19
54.236.156.173",,,,@,
3,fdc.br,Faculdade de Direito de Campos (UNIFLU),191.6.218.13,2804:10:8022::218:13,,,web22f06.kinghost.net,
3,fdv.br,Faculdade de Direito de Vitória,68.183.26.74,,68.183.26.74,,,
3,fea.br,Fundação Educacional de Andradina,187.45.195.62,,,,@,
3,feb.br,Fundação Educacional de Barretos,"104.21.31.107
172.67.176.57","2606:4700:3030::ac43:b039
2606:4700:3032::6815:1f6b","104.21.31.107
172.67.176.57","2606:4700:3030::ac43:b039
2606:4700:3032::6815:1f6b",,
3,fef.br,Fundação Educacional de Fernandópolis,187.51.71.85,,187.51.71.85,,,
3,feg.br,Fundação Educacional Guaçuana,109.106.249.84,,109.106.249.84,,,
3,fei.br,Faculdade de Engenharia Industrial,,,,,,"NS, SOA"
3,ffm.br,Fundação Faculdade de Medicina,186.225.101.217,,,,@,
3,fga.br,Fundação Gildasio Amado,200.166.141.147,,,,@,
3,fgv.br,Fundação Getúlio Vargas,189.125.96.98,,,,id098.lb.fgv.br,
3,fig.br,Faculdades Integradas de Guarulhos,177.12.171.252,,,,web36f88.kinghost.net,
3,fij.br,Faculdades Integradas de Jacarepaguá,45.89.205.72,2a02:4780:1:504:0:eb1:61b3:1,,,@,
3,fit.br,Faculdades Integradas de Tapajós,189.80.207.106,,,,,
3,fkb.br,Fundação Karnig Bazarian,191.252.4.45,,,,@,
3,fma.br,Faculdade Maria Augusta,,,187.17.67.8,,,
3,fmc.br,Faculdade de Medicina de Campos,186.202.153.205,,,,@,
3,fmj.br,Faculdade de Medicina de Jundiaí,187.49.32.5,2804:1a4:1::5,187.49.32.5,2804:1a4:1::5,,
3,fmu.br,Faculdades Metropolitanas Unidas,104.18.31.205,,,,indiana.fmu.br,
3,fnc.br,Faculdade Norte Cabixaba,191.6.211.32,2804:10:8002::211:32,,,,
3,fnd.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,fog.br,Fundação Octacílio Gualberto,186.202.157.79,,,,@,
3,fot.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,foz.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,fpf.br,Fundação Desembargador Paulo Feitoza,201.90.252.251,,201.90.252.251,,,
3,fpj.br,Faculdade Politécnica de Jundiaí,187.17.67.8,,187.17.67.8,,,
3,frb.br,Faculdade Rui Barbosa,187.45.193.14,,,,www.frb.edu.br,
3,fsa.br,Fundação Santo André,,,,,web12.picture.com.br,
3,fsg.br,Faculdade da Serra Gaúcha,34.149.52.195,,34.149.52.195,,,
3,fst.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ftc.br,Faculdade de Tecnologia e Ciências,132.145.206.174,,132.145.206.174,,,
